index,cookTime,datePublished,description,image,ingredients,name,prepTime,recipeYield,url,total_time,difficulty
5,PT10M,2012-05-31,"When I was in Albuquerque with Marlboro Man and the boys a month ago, I had a really fun book signing. Such incredibly nice a...",http://static.thepioneerwoman.com/cooking/files/2012/05/enchilada.jpg,"1 whole Onion, Diced 2 Tablespoons Butter 1 can (15 Ounce) Green Enchilada Sauce 2 cans (4 Ounce) Chopped Green Chilies 12 whole Corn Tortillas 2 cups Freshly Grated Cheddar (or Cheddar-jack) Cheese (or Any Cheese You'd Like)  Sour Cream  Salsa  Pico De Gallo (optional)  Guacamole (optional)  Cilantro Leaves, Optional",Easy Green Chile Enchiladas,PT5M,4,http://thepioneerwoman.com/cooking/2012/05/easy-green-chile-enchiladas/,900.0,Medium
23,PT20M,2012-01-19,"I made these beautiful, tasty little suckers before Christmas and am only just now recovering from the bliss so I can tell yo...",http://static.thepioneerwoman.com/cooking/files/2012/01/scallops.jpg,"2 pounds Large Scallops 1/2 pound Bacon, Cut Into Thirds Or Halves 1 stick Butter 2 teaspoons Chili Powder  Dash Of Cayenne",Bacon-Wrapped Scallops with Chili Butter,PT15M,8,http://thepioneerwoman.com/cooking/2012/01/bacon-wrapped-scallops-with-chili-butter/,2100.0,Medium
25,PT3H,2012-01-30,"My oh my, was this good. Ultra spicy, seriously tender stewed meat served over unbelievably creamy cheese grits. The spicines...",http://static.thepioneerwoman.com/cooking/files/2012/01/stewedbeef.jpg,"2 Tablespoons Canola Oil 2 Tablespoons Butter 3 pounds Stew Meat Or Diced Chuck Roast 1 can (11 Ounces) Chipotle Peppers In Adobo Sauce 4 cups Low-sodium Beef Broth, More If Needed 5 cloves Minced Garlic 1 Tablespoon Cumin 2 teaspoons Chili Powder 1 whole Onion, Diced 1 whole Red Bell Pepper 3 whole Chilies (any Variety, Hot Or Mild) 4 cups Stone Ground Grits 6 cups Low Sodium Chicken (or Beef) Broth 3 cups Water 2 cups Half-and-half 2 cups Grated Cheddar Cheese",Spicy Stewed Beef with Creamy Cheddar Grits,PT20M,12,http://thepioneerwoman.com/cooking/2012/01/spicy-stewed-beef-with-creamy-cheddar-grits/,12000.0,Hard
30,PT15M,2012-02-22,"Today is Ash Wednesday, the beginning of Lent, and I'd like to share this exceedingly meatless treat with you that I've been ...",http://static.thepioneerwoman.com/cooking/files/2012/02/wraps.jpg,"2 teaspoons Peanut Or Olive Oil 1 package (about 12-14 Oz. Size) Firm Tofu 2 ears Corn (or 1 1/2 Cups Frozen Corn Kernels) 1/4 teaspoon Chili Powder (more To Taste) 1/4 cup Soy Sauce  Romaine Lettuce Hearts 2 whole Avocados, Sliced 1 teaspoon Balsamic Vinegar (optional)",Vegetarian Lettuce Wraps,PT5M,6,http://thepioneerwoman.com/cooking/2012/02/vegetarian-lettuce-wraps/,1200.0,Medium
54,PT5M,2012-05-17,"Before I share my fourth and final grilling recipe, I’m busting at the seams to announce the winners of the Bush’s Grilli...",http://static.thepioneerwoman.com/cooking/files/2012/05/bushs41.jpg,"4 whole Ribeye, Hanger, Flat Iron, Or Strip Steaks 1/2 teaspoon Ground Nutmeg 1/2 teaspoon Ground Cumin 1 teaspoon Ground Cinnamon 1 teaspoon Ground Ginger 2 Tablespoons Chili Powder 1/2 teaspoon Ground Turmeric 2 Tablespoons Garlic Salt 1 cup Olive Oil 2 cans Bush's Grillin Beans Steakhouse Recipe",Grillin’ Recipe Contest Winners!,PT10M,4,http://thepioneerwoman.com/cooking/2012/05/grillin-recipe-contest-winners/,900.0,Medium
92,PT4H,2011-08-04,"My name is Pioneer Woman and I love beans.     Hi, Pioneer Woman.     Sorry. It's true, though. A big pot of brown beans simm...",http://static.thepioneerwoman.com/cooking/files/2011/08/6005198000_e154cac62e_o.jpg,"4 cups Dry Pinto Beans 1 whole Ham Hock 1 whole Onion, Diced 2 whole Red Bell Peppers, Diced 4 cloves Garlic, Minced 2 whole Jalapenos, Sliced 2 teaspoons Salt, More To Taste 2 teaspoons Chili Powder (optional) 2 teaspoons Black Pepper, More To Taste",Spicy Beans,PT5M,12,http://thepioneerwoman.com/cooking/2011/08/spicy-beans/,14700.0,Hard
105,PT1H,2011-09-26,"We're submerged in football right now. There's no other way to put it. Marlboro Man is coaching my two boys' football team, M...",http://static.thepioneerwoman.com/cooking/files/2011/09/TPW_1850.jpg,"2 pounds Ground Chuck 3 cloves Garlic, Minced (optional) 1 can (12 To 14 Ounce) Tomato Sauce 1 can (10 Ounce) Ro-tel (diced Tomatoes And Chilies) 1/2 teaspoon Salt 1 teaspoon Ground Oregano 1 Tablespoon Ground Cumin 2 Tablespoons Chili Powder (more To Taste) 1 can (14-ounce) Kidney Beans, Drained And Rinsed 1 can (14-ounce) Pinto Beans, Drained And Rinsed 1/4 cup Masa (corn Flour) Or Regular Corn Meal 1/2 cup Warm Water  Individual Bags Of Fritos  Grated Sharp Cheddar Cheese  Diced Red Onion (Optional)",Frito Chili Pie,PT5M,8,http://thepioneerwoman.com/cooking/2011/09/frito-chili-pie/,3900.0,Hard
109,PT30M,2011-10-17,"While a few state fairs are happening right now, the one in my state (as is the case with many others) has drawn to a close. ...",http://static.thepioneerwoman.com/cooking/files/2011/10/caveman.jpg,10 whole Turkey Legs  BRINE: 4 quarts Water 1 cup Kosher Salt 1 cup Sugar 1 cup Brown Sugar 2 Tablespoons Seasoning Blend (I Used Montreal) 1 whole Bay Leaf  Dry Rub 2 Tablespoons Chili Powder (less If You Don't Like Things Too Spicy!) 2 teaspoons Seasoning Blend (I Used Montreal) 2 teaspoons Paprika 2 teaspoons Onion Salt,Caveman Pops (aka Roasted Turkey Legs),PT6H,10,http://thepioneerwoman.com/cooking/2011/10/caveman-pops-aka-roasted-turkey-legs/,23400.0,Hard
139,PT10M,2011-05-12,At the salad supper I attended a couple of weeks ago--the one that gave birth to this chicken salad I made recently--four sal...,http://static.thepioneerwoman.com/cooking/files/2011/05/5712043212_092a8fe85d_o.jpg,"1 whole Sirloin Steak, 3/4 To 1 Pound  Kosher Salt To Taste 3/4 cups Ponzo Or Regular Soy Sauce 3 Tablespoons Pure Sesame Oil 2 Tablespoons Olive Oil 2 Tablespoons Rice Wine Vinegar 1 teaspoon Hot Chili Oil (less If You Can't Handle Heat!) 2 cloves Garlic, Peeled And Minced Finely 2 teaspoons Minced Fresh Ginger 2 Tablespoons Packed Brown Sugar 1/2 cup Sliced Green Onion 8 ounces, weight Thin Noodles (I Used Thin Spaghetti)  Cilantro Leaves",Beef Noodle Salad Bowls,PT10M,4,http://thepioneerwoman.com/cooking/2011/05/beef-noodle-salad-bowls/,1200.0,Medium
140,PT11M,2010-07-12,"First, an important clarification: The Pioneer Woman Cooks is not meant to be an encyclopedia of innovative gourmet recipes. ...",http://static.thepioneerwoman.com/cooking/files/2010/07/4784959605_c5713e9e4b_b.jpg,"2 pounds Ground Beef 1/2 whole Medium Onion 1 can (7 Ounce) Mexican Tomato Sauce Or Enchilada Sauce  Salt And Pepper, to taste  Cumin, Oregano, Chili Powder, Garlic To Taste 1 can (28 Ounce) Refried Beans 3/4 cups Grated Cheddar Cheese 12 whole Burrito-sized Flour Tortillas  Extra Grated Cheese, For Sprinkling  Extra Sauce, For Drizzling  Cilantro Leaves, Optional  Optional Filling Ingredients: Mexican Rice, Sour Cream, Guacamole, Green Chilies, Pico De Gallo",Beef and Bean Burritos,PT5M,6,http://thepioneerwoman.com/cooking/2010/07/brown-hot-and-plenty-of-it-vol-i/,960.0,Medium
153,PT1H30M,2011-01-10,"I love, love, love, love Chicken Tortilla Soup. So over the weekend, I made some.     The end.     Wasn't that a beautiful st...",http://static.thepioneerwoman.com/cooking/files/2011/01/5337400468_d5892f3a03_o.jpg,"2 whole Boneless, Skinless Chicken Breasts 1 Tablespoon Olive Oil 1-1/2 teaspoon Cumin 1 teaspoon Chili Powder 1/2 teaspoon Garlic Powder 1/2 teaspoon Salt 1 Tablespoon Olive Oil 1 cup Diced Onion 1/4 cup Diced Green Bell Pepper 1/4 cup Red Bell Pepper 3 cloves Garlic, Minced 1 can (10 Oz. Can) Rotel Tomatoes And Green Chilies 32 ounces, fluid Low Sodium Chicken Stock 3 Tablespoons Tomato Paste 4 cups Hot Water 2 cans (15 Oz. Can) Black Beans, Drained 3 Tablespoons Cornmeal Or Masa 5 whole Corn Tortillas, Cut Into Uniform Strips Around 2 To 3 Inches  _____  FOR THE GARNISHES:  Sour Cream  Diced Avocado  Diced Red Onion  Salsa Or Pico De Gallo  Grated Monterey Jack Cheese  Cilantro",Chicken Tortilla Soup,PT10M,8,http://thepioneerwoman.com/cooking/2011/01/chicken-tortilla-soup/,6000.0,Hard
175,PT30M,2011-03-31,"Before I share this recipe with you, let me warn you: it's a royal mess. But as is the case with many messy dishes (cinnamon ...",http://static.thepioneerwoman.com/cooking/files/2011/03/tacos.jpg,"16 whole Corn Tortillas (small Size) 4 whole Boneless, Skinless Chicken Breasts, Cut Into Pieces  Salt, Cumin, Chili Powder To Taste (or Use Taco Seasoning) 2 Tablespoons Canola Oil 2 cans (4 Ounce) Diced Green Chilies 1-1/2 cup Finely Grated Cheese (cheddar Or Cheddar/jack Mix)  Sour Cream  Hot Sauce (Chulula Or Other Brand) 2 cups Thinly Sliced Romaine Lettuce (or Any Lettuce) 4 whole Roma Tomatoes, Diced  Canola Oil, For Frying Tacos",My Brother’s Chicken Tacos,PT10M,8,http://thepioneerwoman.com/cooking/2011/03/my-brothers-chicken-tacos/,2400.0,Medium
223,PT10M,2010-08-13,  I'll be spending the weekend cooking some new recipes and making such a mess of my kitchen I'll want to cry and burn down t...,http://static.thepioneerwoman.com/cooking/files/2010/08/3949394720_c854047191_o1.jpg,"12 ounces, fluid Thin Noodles, Cooked And Drained 1/4 cup Soy Sauce 2 Tablespoons Sugar 4 cloves Garlic, Minced 2 Tablespoons Rice Vinegar 3 Tablespoons Pure Sesame Oil 1/2 teaspoon Hot Chili Oil 4 Tablespoons Canola Oil 4 whole Green Onions, Sliced Thin",Simple Sesame Noodles,PT10M,8,http://thepioneerwoman.com/cooking/2010/08/simple-sesame-noodles/,1200.0,Medium
241,PT20M,2010-10-08,"This is to die for.     It's just a regular corn chowder made with fresh corn shaved off the cob, which is yummy enough as it...",http://static.thepioneerwoman.com/cooking/files/2010/10/chowder.jpg,"2 slices Bacon, Cut Into 1/2-inch Pieces (or Smaller) 2 Tablespoons Butter 1-1/2 whole Yellow Onion, Diced 5 ears Corn, Shucked (about 4 Cups) 2 whole Chipotle Peppers In Adobo Sauce, Finely Diced 1 whole 4-ounce Can Diced Green Chilies 32 ounces, fluid Low Sodium Chicken Broth 1-1/2 cup Heavy Whipping Cream 1/2 teaspoon Kosher Salt (more To Taste) 3 Tablespoons Corn Meal OR Masa 1/4 cup Water",Corn Chowder with Chilies,PT10M,8,http://thepioneerwoman.com/cooking/2010/10/corn-chowder-with-chilies/,1800.0,Medium
244,PT45M,2010-10-14,"I have a good, basic recipe for cheese grits in my cookbook, but last night I was feeling feisty.     I was cooking steaks. B...",http://static.thepioneerwoman.com/cooking/files/2010/10/5079611293_ff628b6e0c_z.jpg,"4-1/2 cups Water 1/2 teaspoon Salt 1 cup Grits (quick Or Regular) 1/2 can (10 Ounce Can) Rotel (tomatoes And Chilies) 1 can (4 Ounce Can) Chopped Green Chilies 8 ounces, weight Monterey Jack Cheese, Grated 4 ounces, weight Cream Cheese, Cut Into Cubes 1/4 teaspoon Cayenne Pepper 1/4 teaspoon Paprika  Black Pepper To Taste 1 whole Egg Beaten",Creamy Cheese Grits with Chilies,PT5M,8,http://thepioneerwoman.com/cooking/2010/10/creamy-cheese-grits-with-chilies/,3000.0,Medium
245,PT20M,2010-10-20,There are few things I love more than a big green salad with sliced grilled steak on top. Whenever Marlboro Man and I land at...,http://static.thepioneerwoman.com/cooking/files/2010/10/5095710774_9a8833d919_z.jpg,"2 whole Rib-eye Or Strip Steaks, Extra Fat Trimmed  _____  FOR THE DRESSING/MARINADE: 3/4 cups Canola Oil 3 Tablespoons Red Wine Vinegar 1 Tablespoon Balsamic Vinegar 1 Tablespoon Worcestershire Sauce 2 Tablespoons Soy Sauce 1 teaspoon (additional) Soy Sauce 2 Tablespoons Lime Juice 2 Tablespoons Sugar 3 cloves Garlic, Peeled 1 Tablespoon Minced Fresh Ginger 1/2 teaspoon Hot Chili Oil 1 teaspoon Kosher Salt  Lots Of Freshly Ground Black Pepper  _____  FOR THE ONION STRINGS: 2 whole Onions, Sliced As Thin As Possible 2 cups Buttermilk 2 cups Flour 1 Tablespoon Salt 1/2 teaspoon Cayenne Pepper 1 quart Canola Oil  Black Pepper To Taste  _____  FOR THE CANDIED PECAN BITS: 1/2 cup Pecans, Chopped 1 cup Sugar 2 Tablespoons Water  _____  FOR THE SALAD:  Lettuce Mix: Romaine, Arugula, Watercress, Raddiccio, Etc.  Small Grape Tomatoes 3/4 cups Crumbled Blue Cheese",Big Steak Salad,PT1M,4,http://thepioneerwoman.com/cooking/2010/10/big-steak-salad/,1260.0,Medium
272,PT20M,2013-01-07,I am a passionate lover of butternut squash. I've written before about how a spoonful of butternut squash puree (spiked with ...,http://static.thepioneerwoman.com/cooking/files/2013/01/squashkale.jpg,"1/2 whole Butternut Squash, Peeled, Seeded, And Diced. 2 Tablespoons Butter 1 Tablespoon Olive Oil 1/2 teaspoon Kosher Salt  Black Pepper To Taste 1/4 teaspoon Chili Powder (more To Taste) 1 bunch Kale, Leaves Torn, Stalks Discarded 8 whole Small (fajita Sized) Flour Tortillas  Extra Butter For Frying 2-1/2 cups Monterey Jack Cheese, Grated (more If Needed)  Sour Cream For Serving  Cilantro, For Serving  Pico De Gallo, Salsa, Avocado Slices (optional) For Serving",Butternut Squash &amp; Kale Quesadillas,PT15M,4,http://thepioneerwoman.com/cooking/2013/01/butternut-squash-kale-quesadillas/,2100.0,Medium
282,PT,2010-01-27,"Okay. Here's the situation:     I am completely high maintenance when it comes to salsa.     Now, I'm not talking about Pico ...",http://static.thepioneerwoman.com/cooking/files/2010/07/4307514771_c089bbd7101.jpg,"1 can (28 Ounce) Whole Tomatoes With Juice 2 cans (10 Ounce) Rotel (diced Tomatoes And Green Chilies) 1/4 cup Chopped Onion 1 clove Garlic, Minced 1 whole Jalapeno, Quartered And Sliced Thin 1/4 teaspoon Sugar 1/4 teaspoon Salt 1/4 teaspoon Ground Cumin 1/2 cup Cilantro (more To Taste!) 1/2 whole Lime Juice",Restaurant Style Salsa,PT10M,12,http://thepioneerwoman.com/cooking/2010/01/restaurant-style-salsa/,600.0,Medium
297,PT7H,2010-03-30,"Okay. I think we've more than established that when it comes to correct methods for cooking and serving Passover food, I am n...",http://static.thepioneerwoman.com/cooking/files/2010/07/4475462524_0903f9b850.jpg,"1 whole Beef Brisket, Trimmed Of All Fat (5 To 8 Pounds) 1 bottle (24 Ounce) Ketchup Or Chili Sauce (make Sure It's Kosher) 1 package Onion Soup Mix (make Sure It's Kosher)",Passover Brisket,PT10M,8,http://thepioneerwoman.com/cooking/2010/03/passover-brisket-i-think/,25800.0,Hard
301,PT20M,2010-04-12,"I used to be terrified of sloppy joes. It's true. When I was a little girl, I got it in my head that sloppy joes were demons,...",http://static.thepioneerwoman.com/cooking/files/2010/07/4512963320_bba26f6a97_o.jpg,"2 Tablespoons Butter 2-1/2 pounds Ground Beef 1/2 whole Large Onion, Diced 1 whole Large Green Bell Pepper, Diced 5 cloves Garlic, Minced 1-1/2 cup Ketchup 1 cup Water 2 Tablespoons Brown Sugar 2 teaspoons Chili Powder (more To Taste) 1 teaspoon Dry Mustard 1/2 teaspoon Red Pepper Flakes (more To Taste)  Worcestershire Sauce, To Taste 2 Tablespoons Tomato Paste (optional)  Tabasco Sauce (optional; To Taste)  Salt To Taste  Freshly Ground Black Pepper, To Taste  Kaiser Rolls  Butter",Sloppy Joes,PT10M,8,http://thepioneerwoman.com/cooking/2010/04/sloppy-joes/,1800.0,Medium
333,PT1H,2013-01-21,"A couple of weeks ago, I cooked Butternut Squash &amp; Kale Quesadillas. The same day, because I had hacked into a whole butternu...",http://static.thepioneerwoman.com/cooking/files/2013/01/risotto.jpg,"1/2 whole Butternut Squash, Peeled, Seeded, And Diced. 3 Tablespoons Butter 1 Tablespoon Olive Oil 1/2 teaspoon Kosher Salt  Black Pepper To Taste 1/4 teaspoon Chili Powder 1/2 whole Diced Onion 1-1/2 cup Arborio Rice 6 cups (approximately) Vegetable Or Chicken Broth (low Sodium)  Salt And Pepper, to taste 1/8 teaspoon Turmeric 1/4 cup Heavy Cream (less If Desired) 1/2 cup Parmesan Shavings (more For Serving)  Finely Minced Parsley, For Serving",Butternut Squash Risotto,PT10M,8,http://thepioneerwoman.com/cooking/2013/01/butternut-squash-risotto/,4200.0,Hard
349,PT1H,2009-06-04,"Whether you love Chicken Tikka Masala or you've never tried it in your life, you're in for a treat. Ryan comes through once a...",http://static.thepioneerwoman.com/cooking/files/2009/06/chicken-tikka-masala.jpg,"3 whole (to 4) Chicken Breasts  Kosher Salt  Ground Coriander  Cumin, To Taste 1/2 cup Plain Yogurt 6 Tablespoons Butter 1 whole Large Onion 4 cloves Garlic 1 piece (approximately 2 Inches) Chunk Fresh Ginger  Garam Masala 1 can (28 Ounce) Diced Tomatoes  Sugar 1-1/2 cup Heavy Cream 2 cups Basmati Rice  _____  OPTIONAL:  Fresh Cilantro  Chili Peppers  Turmeric  Frozen Peas","Chicken Tikka Masala, by Pastor Ryan",PT30M,6,http://thepioneerwoman.com/cooking/2009/06/chicken-tikka-masala-by-pastor-ryan/,5400.0,Hard
